name,online_order,book_table,rate,votes,location,rest_type,dish_liked,cuisines,cost
Cafe Coffee Day,Yes,No,3.6,56,Kalyan Nagar,Cafe,"Coffee, Garlic Bread",Cafe,650.0
Rasa Cafe,Yes,No,3.4,6,Kalyan Nagar,Cafe,,"Cafe, American, Italian, Continental",600.0
JamayCafe,No,No,2.8,16,Kalyan Nagar,Cafe,,Cafe,600.0
Cafe Qissa,No,No,3.3,5,Kalyan Nagar,Quick Bites,,"Burger, Cafe, Drinks Only, Juices",100.0
Chaai Resto,Yes,No,3.9,97,Kalyan Nagar,Cafe,"Ginger Tea, Poha, Ginger Chai, Paratha, Chaai, Sandwiches, Elaichi Tea","Cafe, Fast Food, Beverages",350.0
Onesta,Yes,Yes,4.4,2589,Kammanahalli,"Casual Dining, Cafe","Roast Chicken Pizza, Ricotta Ravioli, Pasta, Berryblast, Paneer Tikka Pizza, Barbeque Chicken Pizza, Mocktails","Pizza, Cafe, Italian",600.0
Starbucks,No,No,3.8,15,Kammanahalli,Cafe,,"Cafe, Desserts",700.0
Coffee Mechanics,Yes,No,4.3,191,HBR Layout,Cafe,"Brownie, Fries, English Breakfast, Cinnamon Roll, Brewed Coffee, Wings, Cappuccino","Cafe, Bakery, French, Jewish, Sandwich, Vegan, Coffee",700.0
Based On A True Story- Bistro,Yes,Yes,4.3,496,Kammanahalli,"Cafe, Quick Bites","Burgers, Popcorn, Pancakes, Brownie, Nachos, Pasta, Terminator Burger","Cafe, Burger, Italian, Desserts",800.0
Hangout Cafe,Yes,No,3.6,14,HBR Layout,Cafe,,"Cafe, Beverages",400.0
Yomama!!,Yes,Yes,3.6,104,Kammanahalli,Cafe,"Burgers, Spaghetti, Beef Burger, Cheesecake, Steak, Chicken Burger, Pasta","Continental, Burger, Cafe, Steak",800.0
Al Amal Cafe,No,No,4.0,74,Kammanahalli,"Cafe, Quick Bites",,"Cafe, Fast Food",300.0
18+ Ice Cafe,No,No,3.5,24,Kammanahalli,Cafe,,"Cafe, Fast Food, Chinese, Beverages",550.0
White Oak Cafe,No,No,2.6,26,Kammanahalli,Cafe,,"Cafe, Fast Food",600.0
Avista Cafe Pizzeria,Yes,Yes,4.5,506,Hennur,Cafe,"Sandwiches, Bbq Chicken Pizza, Burgers, Steak, Mashed Potato, Peri Peri Chicken Pizza, Aglio Olio Pasta","Cafe, Italian",650.0
The Bridge Walk Cafe,Yes,No,3.7,44,Kengeri,Cafe,,"Cafe, Continental",500.0
Teapoy Mutiny,Yes,No,4.1,98,Hennur,Cafe,"Tea, Sandwiches, Coffee, French Fries, Cheese Sandwich, Hot Chocolate","Cafe, Continental, American, Beverages",500.0
Patio - The Resto Cafe,Yes,No,3.7,73,Banaswadi,"Cafe, Quick Bites","Chicken Burger, Pasta, Hash Brown, Noodles","Cafe, Continental, Chinese, Momos",500.0
Mayonaise,Yes,No,3.8,44,Banaswadi,Cafe,"Chicken Fries, Burgers","Cafe, Continental, Beverages",500.0
Srinathjis,Yes,No,3.6,62,Banaswadi,"Casual Dining, Cafe",,"North Indian, Cafe, Chinese",550.0
Cafe Get Hooked,Yes,No,3.6,17,Banaswadi,Cafe,,Cafe,600.0
Coffee@Arens,Yes,No,3.8,77,Banaswadi,Cafe,"Filter Coffee, Cappuccino, Brewed Coffee","Cafe, Fast Food",550.0
T4U Cafe,No,No,3.6,17,Banaswadi,Quick Bites,,"Chinese, Fast Food, Beverages",400.0
Lava Kaffe,No,No,3.5,9,Banaswadi,Cafe,,Cafe,350.0
Urban Bakes & Cafe,No,No,3.7,33,Banaswadi,Cafe,,"Cafe, Bakery",500.0
eat.fit,Yes,No,4.4,287,Nagawara,Delivery,"Paratha, Salads, Chicken Tikka Sub, Roti","Healthy Food, North Indian, Biryani, Continental, Sandwich, Desserts",500.0
The Good Bowl,Yes,No,3.5,15,Kalyan Nagar,"Takeaway, Delivery",,"Italian, North Indian, Biryani",500.0
Polar Bear,Yes,No,3.8,221,Kalyan Nagar,Dessert Parlor,"Sandwiches, Brownie Fudge, Hot Chocolate Fudge, Thick Shakes","Ice Cream, Desserts, Beverages, Sandwich",400.0
Cafe 99 Kerala Mess,Yes,No,3.7,52,Kalyan Nagar,Quick Bites,Shawarma,"Kerala, North Indian, Chinese",350.0
Hyderabad Biryani,Yes,No,3.3,106,Nagawara,Casual Dining,,"Hyderabadi, Biryani, North Indian",800.0
Chikpet Donne Biriyani Corner,Yes,No,3.7,7,Kalyan Nagar,Quick Bites,,"Biryani, North Indian",300.0
Paul's Dum Biryani,Yes,No,4.0,148,HBR Layout,Delivery,"Hyderabadi Biryani, Vegetable Biryani, Raita, Chicken Dum Biryani","Biryani, Hyderabadi",400.0
Berakah,Yes,No,4.0,253,Hennur,Casual Dining,"Mutton Pepper Fry, Biryani, Chicken Tenders, Butter Naan, Roti, Paneer Malai Tikka, Yakhni Pulao","North Indian, Mughlai, Chinese",600.0
KFC,Yes,No,3.7,205,Nagawara,Food Court,"Burgers, Zinger Burger, Ginger Chicken","Burger, Fast Food",400.0
Matru Sagar,Yes,No,4.1,327,Kalyan Nagar,Quick Bites,"Vada, Butter Masala Dosa, Coffee","South Indian, North Indian, Chinese",300.0
Sikori,Yes,No,4.2,376,Kalyan Nagar,Quick Bites,"Kesaria Lassi, Chaat, Pav Bhaji, Paratha, Rasmalai, Jalebi Rabri, Tea","Street Food, North Indian",350.0
Leon's Take Away,Yes,No,3.7,215,Banaswadi,"Takeaway, Delivery","Momos, Shawarma, Noodles, Burgers, Pepper Baby Corn, Rolls, Fries","Chinese, North Indian, Fast Food",450.0
Nandhini,Yes,No,3.8,109,Banaswadi,"Casual Dining, Bar",Mutton Biryani,"Andhra, Chinese, North Indian",600.0
Thalis Of India,Yes,No,3.6,24,Hennur,Delivery,,"South Indian, North Indian, Beverages",500.0
Pizza Hut,Yes,No,3.2,22,Nagawara,Quick Bites,,Pizza,750.0
Donne Biryani Kuteera,Yes,No,3.7,297,Banaswadi,Quick Bites,"Donne Biryani, Pepper Chicken",Biryani,200.0
Marwari Basa,Yes,No,3.8,128,Nagawara,Quick Bites,"Paratha, Lassi, Dal Bati, Kachori, Roti, Churma, Liti Chokha","Rajasthani, North Indian",300.0
Krispy Kreme,No,No,3.9,87,Kalyan Nagar,Dessert Parlor,"Donut, Coffee","Desserts, Beverages",300.0
Belgian Waffle Factory,Yes,No,4.8,265,Kalyan Nagar,Dessert Parlor,"Chocolate Waffles, Chocolate Overload, Oreo Waffle, Nachos, Belgian Waffles, French Fries",Desserts,400.0
Subway,Yes,No,4.0,209,Kalyan Nagar,Quick Bites,"Sandwich, Salads, Sandwiches, Salad, Chicken Tikka","Salad, Fast Food",600.0
New Krishna Sagar,Yes,No,4.0,51,HBR Layout,Casual Dining,,"North Indian, Chinese, South Indian, Street Food",400.0
Mangalore Lunch Home,Yes,No,3.1,33,HBR Layout,Quick Bites,,"Mangalorean, Seafood",300.0
Bhavani Restaurant,Yes,No,3.6,73,Banaswadi,Casual Dining,,"Mughlai, North Indian, Chinese",500.0
Adukkala Restaurant,Yes,No,3.2,123,Banaswadi,Casual Dining,"Tea, Shawarma, Egg Roast, Biryani, Appam",Kerala,600.0
Andhra Mess,Yes,No,3.3,6,Nagawara,Mess,,"Biryani, Kebab",300.0
Al Madina Roll House,Yes,No,3.6,16,Kalyan Nagar,Quick Bites,,Biryani,150.0
New Punjabi Veg Restaurant,Yes,No,2.9,112,Nagawara,Quick Bites,,"North Indian, Chinese",400.0
Rejoice The Taste Of Indore,Yes,Yes,3.0,160,Hennur,Casual Dining,"Roti, Jalebi, Pav Bhaji, Panipuri, Fish Tikka","North Eastern, Street Food",650.0
Brahmins' Thatte Idli,Yes,No,4.1,189,Kalyan Nagar,Quick Bites,Thatte Idli,South Indian,100.0
Kijiji - Chal Yaha Khate Hai,Yes,No,3.7,306,Nagawara,Quick Bites,"Paratha, Roti, Curd Rice, Thali, Tea, Dal Bati, Gajar Halwa","North Indian, Gujarati, Street Food",400.0
North Indian Bhukkads,Yes,Yes,4.0,202,Nagawara,Quick Bites,"Lassi, Thali, Biryani, Pav Bhaji, Chole Bhature, Gulab Jamun, Veg Kolhapuri","North Indian, Biryani, Chinese, Street Food",450.0
Chaitra Restaurant,Yes,No,3.7,35,Kalyan Nagar,Quick Bites,,"North Indian, Chinese",700.0
Burger King,Yes,No,3.5,408,Nagawara,Quick Bites,"Burgers, Cheesy Fries, Chicken Wings, Veg Burger, Veg Whopper","Burger, Fast Food, Beverages",600.0
Srinidhi Veg Food Court,Yes,No,3.9,96,Kalyan Nagar,Quick Bites,"Filter Coffee, Onion Rava Masala Dosa, Tea, Chole Bhature, Roti, Noodles, Vada","Chinese, North Indian, South Indian",300.0
Cream Stone,Yes,No,4.2,432,Kalyan Nagar,Dessert Parlor,"Ice Cream Strawberry, Tiramisu, Chocolate Icecreams, Chocolava, Hot Chocolate Fudge, Ferrero Rocher, Coffee Craze","Desserts, Beverages",500.0
Kuttanad Restaurant,Yes,No,3.9,247,Nagawara,Quick Bites,"Paratha, Sea Food, Fish Biryani, Duck Roast","Kerala, North Indian",400.0
BOX8- Desi Meals,Yes,No,4.1,343,Kammanahalli,"Takeaway, Delivery","Chicken Sandwich, Salads, Butter Chicken, Sandwiches, Salad, Biryani, Ice Tea","North Indian, Mughlai, Fast Food",500.0
Ovenstory Pizza,Yes,No,3.9,162,Kalyan Nagar,Delivery,"Paneer Pizza, Chicken Keema, Peri Peri Pizza, Chicken Chunks",Pizza,750.0
Behrouz Biryani,Yes,No,3.9,232,Kammanahalli,Delivery,"Mutton Dum Biryani, Gulab Jamun, Buttermilk, Raita, Paneer Biryani, Gosht Dum Biryani, Basmati Rice",Biryani,650.0
Swad,Yes,No,2.6,210,Nagawara,Quick Bites,"Roti, Paratha, Biryani, Thali","North Indian, Chinese",400.0
Kerala Mess,Yes,No,2.9,40,Nagawara,Mess,,"Chinese, Kerala, North Indian",300.0
Matsya Loka,Yes,No,3.6,153,Nagawara,Quick Bites,"Biryani, Sea Food, Fish Curry Rice",Seafood,400.0
Biryani Palace,Yes,No,3.6,37,Nagawara,Casual Dining,,"Biryani, North Indian, Chinese",750.0
Jai Bhavani Dhaba,Yes,No,3.0,52,Nagawara,Dhaba,,"North Indian, Chinese, Seafood",300.0
Sukh Sagar,Yes,No,2.7,182,Kammanahalli,Casual Dining,"Rava Masala Dosa, Chaat, Dal Tadka, Onion Dosa, Tomato Soup, Thali, Tea","North Indian, South Indian, Chinese, Beverages",450.0
Purnabramha Maharashtrian Restaurant,Yes,Yes,3.6,24,Kalyan Nagar,Casual Dining,,Maharashtrian,850.0
Kanti Sweets,Yes,No,3.4,4,Kalyan Nagar,"Sweet Shop, Quick Bites",,"Mithai, Street Food",400.0
Warm Oven,Yes,No,3.8,24,Kalyan Nagar,"Bakery, Dessert Parlor",,"Bakery, Desserts",500.0
De Grand Restaurant,Yes,No,3.8,257,Banaswadi,Quick Bites,"Butter Chicken, Shawarma Roll, Chicken Shawarama, Rolls, Chicken Grill, Al Faham Chicken, Roti","North Indian, Chinese",600.0
Inchara Restaurant,Yes,No,3.4,182,Banaswadi,Casual Dining,"Biryani, Fish","Chinese, North Indian, Hyderabadi, Biryani",500.0
Roll N Roll,Yes,No,3.8,61,Nagawara,Kiosk,,"Fast Food, Rolls",200.0
Dunkin' Donuts,Yes,No,4.0,156,Nagawara,"Quick Bites, Dessert Parlor","Donut, Burgers, Coffee","Burger, Desserts, Fast Food",550.0
Bombay Sandwich Company,Yes,No,3.7,41,Hennur,Delivery,"Sandwiches, Falafal Sandwich","Sandwich, Beverages",400.0
